iter	Passed	Remaining
0	8	2684
1	17	2579
2	25	2560
3	34	2527
4	42	2536
5	52	2550
6	60	2519
7	68	2513
8	76	2478
9	84	2464
10	92	2428
11	100	2419
12	108	2395
13	116	2384
14	124	2359
15	132	2360
16	140	2340
17	148	2324
18	156	2308
19	165	2316
20	172	2296
21	180	2276
22	187	2260
23	194	2241
24	202	2229
25	210	2219
26	218	2207
27	226	2198
28	234	2189
29	241	2174
30	249	2167
31	257	2159
32	265	2148
33	273	2142
34	282	2136
35	290	2132
36	299	2129
37	307	2119
38	315	2108
39	322	2097
40	331	2092
41	338	2080
42	347	2077
43	356	2071
44	364	2065
45	372	2054
46	380	2049
47	390	2050
48	399	2046
49	406	2034
50	415	2028
51	422	2016
52	430	2007
53	437	1995
54	446	1988
55	454	1979
56	462	1972
57	469	1960
58	477	1951
59	486	1945
60	494	1939
61	503	1931
62	510	1920
63	518	1912
64	526	1901
65	533	1893
66	541	1882
67	549	1873
68	557	1867
69	566	1859
70	573	1849
71	581	1841
72	589	1832
73	597	1823
74	604	1813
75	612	1804
76	619	1795
77	627	1787
78	638	1786
79	646	1779
80	654	1768
81	661	1758
82	669	1750
83	678	1744
84	688	1740
85	696	1733
86	704	1725
87	714	1720
88	723	1714
89	732	1708
90	741	1702
91	749	1694
92	757	1686
93	766	1678
94	773	1670
95	781	1661
96	789	1652
97	798	1645
98	805	1636
99	813	1627
100	822	1620
101	830	1611
102	837	1602
103	847	1597
104	857	1592
105	866	1585
106	875	1578
107	883	1570
108	891	1562
109	899	1554
110	908	1546
111	916	1538
112	924	1529
113	931	1520
114	939	1511
115	946	1501
116	954	1492
117	962	1484
118	970	1475
119	979	1469
120	988	1462
121	996	1454
122	1004	1444
123	1011	1436
124	1019	1426
125	1028	1420
126	1036	1411
127	1044	1403
128	1052	1394
129	1060	1386
130	1067	1377
131	1075	1368
132	1082	1359
133	1090	1350
134	1098	1342
135	1105	1333
136	1112	1323
137	1120	1314
138	1128	1307
139	1135	1298
140	1143	1289
141	1151	1280
142	1159	1273
143	1166	1264
144	1174	1255
145	1182	1247
146	1191	1239
147	1198	1231
148	1206	1222
149	1214	1214
150	1221	1205
151	1229	1197
152	1236	1188
153	1244	1179
154	1251	1171
155	1260	1163
156	1267	1154
157	1274	1145
158	1282	1137
159	1290	1129
160	1298	1120
161	1306	1113
162	1314	1105
163	1323	1097
164	1332	1089
165	1339	1081
166	1349	1074
167	1358	1067
168	1366	1059
169	1373	1050
170	1380	1041
171	1389	1033
172	1397	1025
173	1405	1017
174	1415	1011
175	1423	1003
176	1431	994
177	1440	987
178	1448	979
179	1456	971
180	1464	962
181	1471	954
182	1479	946
183	1487	937
184	1495	929
185	1503	921
186	1511	913
187	1518	904
188	1526	896
189	1535	888
190	1542	880
191	1551	872
192	1558	864
193	1567	856
194	1575	848
195	1582	839
196	1590	831
197	1599	823
198	1607	815
199	1616	808
200	1624	799
201	1631	791
202	1639	783
203	1647	775
204	1655	767
205	1662	758
206	1671	750
207	1678	742
208	1686	734
209	1696	727
210	1705	719
211	1712	710
212	1721	703
213	1731	695
214	1739	687
215	1747	679
216	1755	671
217	1763	663
218	1770	654
219	1778	646
220	1785	638
221	1793	630
222	1803	622
223	1810	614
224	1818	606
225	1826	597
226	1834	589
227	1841	581
228	1849	573
229	1857	565
230	1866	557
231	1873	549
232	1881	540
233	1888	532
234	1896	524
235	1904	516
236	1911	508
237	1921	500
238	1931	492
239	1938	484
240	1945	476
241	1954	468
242	1962	460
243	1970	452
244	1977	443
245	1985	435
246	1992	427
247	2000	419
248	2008	411
249	2015	403
250	2023	394
251	2033	387
252	2042	379
253	2051	371
254	2058	363
255	2067	355
256	2075	347
257	2082	339
258	2090	330
259	2099	322
260	2107	314
261	2116	306
262	2124	298
263	2132	290
264	2140	282
265	2148	274
266	2155	266
267	2163	258
268	2171	250
269	2178	242
270	2186	233
271	2193	225
272	2200	217
273	2208	209
274	2217	201
275	2224	193
276	2232	185
277	2240	177
278	2247	169
279	2256	161
280	2263	153
281	2271	144
282	2279	136
283	2287	128
284	2295	120
285	2303	112
286	2313	104
287	2320	96
288	2328	88
289	2336	80
290	2343	72
291	2352	64
292	2360	56
293	2368	48
294	2375	40
295	2383	32
296	2391	24
297	2399	16
298	2406	8
299	2415	0
